hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,H27200000,LOCAL,10MM TENDON STRIPPER BLADE,both,,,,max,557.375,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,272,RC,10MM TENDON STRIPPER BLADE,both,,,,gross,568.75,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,272,RC,10MM TENDON STRIPPER BLADE,both,,,,discounted_cash,557.375,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,272,RC,10MM TENDON STRIPPER BLADE,both,,,,min,524.95625,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,272,RC,10MM TENDON STRIPPER BLADE,both,,,,max,557.375,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200726,CDM,11 Fr Sheath 23cm Length,both,,,,gross,42.5,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200726,CDM,11 Fr Sheath 23cm Length,both,,,,discounted_cash,41.65,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200726,CDM,11 Fr Sheath 23cm Length,both,,,,min,39.2275,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200726,CDM,11 Fr Sheath 23cm Length,both,,,,max,41.65,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1894,HCPCS,11 Fr Sheath 23cm Length,both,,,,gross,42.5,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1894,HCPCS,11 Fr Sheath 23cm Length,both,,,,discounted_cash,41.65,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1894,HCPCS,11 Fr Sheath 23cm Length,both,,,,min,39.2275,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1894,HCPCS,11 Fr Sheath 23cm Length,both,,,,max,41.65,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,272,RC,11 Fr Sheath 23cm Length,both,,,,gross,42.5,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,272,RC,11 Fr Sheath 23cm Length,both,,,,discounted_cash,41.65,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,272,RC,11 Fr Sheath 23cm Length,both,,,,min,39.2275,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
